1,534023
2,1182223
3,1834268
4,2506295
5,3058020
6,3648641
7,4414981
8,5407883
9,6250854
10,7113535
11,8007204
12,8852742
13,9991377
14,10934829
15,11955827
16,12878397
17,13862599
18,15136129
19,16417455
20,17719156
21,18999149
22,20224622
23,21724267
24,23079502
25,24493091
26,26076872
27,27534291
28,29011561
29,30619308
30,32087155
31,33678976
32,35401551
33,36902766
34,38535471
35,40137377
36,41802855
37,43400801
38,45240112
39,47110570
40,48731417
41,50476815
42,52268831
43,54024344
44,55816272
45,57576220
46,59285208
47,61099816
48,62827234
49,64540579
50,66263143
51,67817926
52,69233006
53,70945122
54,72661858
55,74286874
56,75747220
57,77231367
58,78965730
59,80367458
60,81756266
61,83266974
62,84735184
63,85960917
64,87439578
65,88755112
66,89920832
67,91106394
